Ref,Val,Package,PosX,PosY,Rot,Side
"D_13","D","D_SOD-123",374.443750,-92.575000,90.000000,bottom
"D_14","D","D_SOD-123",393.493750,-92.575000,90.000000,bottom
"D_15","D","D_SOD-123",412.543750,-92.575000,90.000000,bottom
"D_16","D","D_SOD-123",431.593750,-92.575000,90.000000,bottom
"D_17","D","D_SOD-123",450.643750,-92.575000,90.000000,bottom
"D_18","D","D_SOD-123",107.743750,-111.625000,90.000000,bottom
"D_19","D","D_SOD-123",126.793750,-111.625000,90.000000,bottom
"D_20","D","D_SOD-123",145.843750,-111.625000,90.000000,bottom
"D_21","D","D_SOD-123",164.893750,-111.625000,90.000000,bottom
"D_22","D","D_SOD-123",183.943750,-111.625000,90.000000,bottom
"D_23","D","D_SOD-123",202.993750,-111.625000,90.000000,bottom
"D_24","D","D_SOD-123",222.043750,-111.625000,90.000000,bottom
"D_25","D","D_SOD-123",241.093750,-111.625000,90.000000,bottom
"D_26","D","D_SOD-123",260.143750,-111.625000,90.000000,bottom
"D_27","D","D_SOD-123",279.193750,-111.625000,90.000000,bottom
"D_28","D","D_SOD-123",298.243750,-111.625000,90.000000,bottom
"D_29","D","D_SOD-123",317.293750,-111.625000,90.000000,bottom
"D_30","D","D_SOD-123",336.343750,-111.625000,90.000000,bottom
"D_31","D","D_SOD-123",374.443750,-111.625000,90.000000,bottom
"D_32","D","D_SOD-123",393.493750,-111.625000,90.000000,bottom
